417,brothers of charity - acquired brain injury service - galway,,,,,24 heather grove,acquired brain injury service,,ballybane,galway,ireland,,,2000-01-01,trade
418,brothers of charity - activation unit - tipperary,,,,,activation unit,st. patricks road,,clonmel,tipperary,ireland,,,2000-01-01,trade
419,brothers of charity - ard na seaghsa - roscommon,,,,,"ard na seaghsa, bedroom",abbeytown,,boyle,roscommon,ireland,,,2000-01-01,trade
420,brothers of charity - ashbrook house - galway,,,,,ashbrook house,bolands lane,,gort,galway,ireland,,,2000-01-01,trade
421,brothers of charity - aughmagree house - roscommon,,,,,aughmagree house,,,kilteavan,roscommon,ireland,,,2000-01-01,trade
422,brothers of charity - ballindereen house - galway,,,,,ballindereen house,kilcolgan,,galway,galway,ireland,,,2000-01-01,trade
423,brothers of charity - boc day center - galway,,,,,boc day center,,,gort,galway,ireland,,,2000-01-01,trade
424,brothers of charity - burren view day care centre - galway,,,,,burren view day care,5 fana bui,ballymoneen rd,knocknacarra,galway,ireland,,,2000-01-01,trade
425,brothers of charity - care abbey - tipperary,,,,,care abbey,,,cahir,tipperary,ireland,,,2000-01-01,trade
426,brothers of charity - carraroe - galway,,,,,,,,carraroe,galway,ireland,,,2000-01-01,trade
427,brothers of charity - carrownaherick - galway,,,,,carrownaherick,belclare,,tuam,galway,ireland,,,2000-01-01,trade
428,brothers of charity - countess grove - kerry,,,,,7 countess grove,,,killarney,kerry,ireland,,,2000-01-01,trade
429,brothers of charity - deerpark printing centre - galway,,,,,deerpark center,avalon house,bedroom,ballinasloe,galway,ireland,,,2000-01-01,trade
430,brothers of charity - derrydonnell house - galway,,,,,derrydonnell house,,,athenry,galway,ireland,,,2000-01-01,trade
431,brothers of charity - doy siam house - galway,,,,,doy siam house,drumacoo,,kilcolgan,galway,ireland,,,2000-01-01,trade
432,brothers of charity - drumacoo house - galway,,,,,drumacoo house,kilcolgan,,clarinbridge,galway,ireland,,,2000-01-01,trade
433,brothers of charity - early childhood services - galway,,,,,early childhood services,35 lower newcastle road,,galway,galway,ireland,,,2000-01-01,trade
434,brothers of charity - fia nua - galway,,,,,fia nua,avalon house,,ballinasloe,galway,ireland,,,2000-01-01,trade
435,brothers of charity - finns house - galway,,,,,finns house,derrydonnellmore,,athenry,galway,ireland,,,2000-01-01,trade
436,brothers of charity - grange - tipperary,,,,,grange,,,cahir,tipperary,ireland,,,2000-01-01,trade
437,brothers of charity - hazelwood house - waterford,,,,,hazelwood house,bellmount,ferrybank,waterford,waterford,ireland,,,2000-01-01,trade
438,brothers of charity - hillcrest - roscommon,,,,,hillcrest,knock roe,,castlerea,roscommon,ireland,,,2000-01-01,trade
439,brothers of charity - john paul centre - galway,,,,,st. michael's,john paul centre,ballybane,galway,galway,ireland,,,2000-01-01,trade
440,brothers of charity - john paul services - galway,,,,,john paul services,ballybane,,galway,galway,ireland,,,2000-01-01,trade
441,brothers of charity - kilcoran centre - galway,,,,,bunglow 2,kilcoran,,clarinbridge,galway,ireland,,,2000-01-01,trade
442,brothers of charity - kiltalla house - galway,,,,,kiltalla house,airport road,,carnmore,galway,ireland,,,2000-01-01,trade
443,brothers of charity - kilteavan - roscommon,,,,,,,,kilteavan,roscommon,ireland,,,2000-01-01,trade
444,brothers of charity - lochaun house - galway,,,,,bungalow 13,kilcoran,,clarinbridge,galway,ireland,,,2000-01-01,trade
445,brothers of charity - lota - cork,,,,,"lota,",bungalow 1 bathroom,,glanmire,cork,ireland,,,2000-01-01,trade
446,brothers of charity - lus na greine - tipperary,,,,,lus na greine,fetherd road,,clonmel,tipperary,ireland,,,2000-01-01,trade
447,brothers of charity - moneymore house - galway,,,,,moneymore house,moneymore east,,oranmore,galway,ireland,,,2000-01-01,trade
448,brothers of charity - moyderwell - kerry,,,,,moyderwell,,,tralee,kerry,ireland,,,2000-01-01,trade
449,brothers of charity - nagle centre - tipperary,,,,,nagle centre,,,cashel,tipperary,ireland,,,2000-01-01,trade
450,brothers of charity - renmore - galway,,,,,renmore,,,woodlands,galway,ireland,,,2000-01-01,trade
451,brothers of charity - rose lodge/stone lodge - galway,,,,,rose lodge/stone lodge,,,kilcornan,galway,ireland,,,2000-01-01,trade
452,brothers of charity - siolta nua - tipperary,,,,,siolta nua,carrigeen business park,clogheen road,cahir,tipperary,ireland,,,2000-01-01,trade
453,brothers of charity - skylark centre - galway,,,,,,skylark centre,raheen road,athenry,galway,ireland,,,2000-01-01,trade
454,brothers of charity - stepping stones - galway,,,,,stepping stones,carrann park,,tuam,galway,ireland,,,2000-01-01,trade
455,brothers of charity - tara house - galway,,,,,tara house,weir road,kilcolgan,clarinbridge,galway,ireland,,,2000-01-01,trade
456,brothers of charity - tus maith - tipperary,,,,,tus maith,,,tipperary town,tipperary,ireland,,,2000-01-01,trade
457,brothers of charity - tus nua - waterford,,,,,"tus nua, upper drumdrony",bellefield road,slieverue,waterford,waterford,ireland,,,2000-01-01,trade
458,brothers of charity - weir road - galway,,,,,bunglow 4,weir road,kilcoran,clarinbridge,galway,ireland,,,2000-01-01,trade
459,brothers of charity - woodlands centre - galway,,,,,rosedale school,woodland centre,little oaks room,renmore,galway,ireland,,,2000-01-01,trade
